name,price,point,shipping,mall
"[감동]경북 햇 홍로 사과 2kg/3kg 꼬마소과,소과,중소과 옵션6종","11,190",223P,무료배송,신세계몰
20% 쿠폰! 단 하루 에시앙 베스트 아이템,"11,900",595P,무료배송,에시앙
[기프티콘] 세븐일레븐 농심)츄파춥스250,250,595P,무료배송,기프티콘_11번가
애플코리아 AirPods 에어팟 2세대 유선 충전케이스 모델 MV7N2KH/A (애플케어플러스 선,"159,000",595P,무료배송,Apple공인인증판매점
[한율] ~50% 달빛유자 / 무드등 / 수분크림 에센스 스킨토너 BEST 모음/ 달빛유자 어린,"12,500",250P,무료배송,본사직영_한율스토어
(주)JJ몰/ 고려은단 비타민C 1000 1080mg x 600정,"47,100",942P,무료배송,주_제이제이몰
[본사직영] 오가닉 유기농 주스 125mlx24팩+크록스 악세사리세트,"19,230",384P,무료배송,롯데칠성음료본사직영
[최종59만+3종기프트] 삼성노트북 플러스 NT550XCR-AD3A 온라인강의 인터넷강의 사이버,"699,000",3%,무료배송,삼성Mall
Acer 아스파이어5 A515-44 RYZEN5 4500U 르누아르 가성비 노트북,"509,000",3%,무료배송,씨앤아이컴퍼니
"[혜택가24,480원]칠갑산 무농약 쌀 10kg #농협 #청양군","34,000",680P,무료배송,우리네농산물2
[미즈노정품]국내 최저 역시즌 남여 맨투맨/다운점퍼/트레이닝팬츠/져지자켓 모음전,"10,300",206P,무료배송,테슬라_TESLA
참닭 춘천 닭갈비 700g+700g/닭볶음탕/안주/양념육,"11,900",238P,무료배송,올리브몰
[최종60만! / 예약판매!]레노버메탈 가성비노트북 르누아르 라이젠5 SLIM5-14ARE/R5-4,"639,000",238P,무료배송,오우프라자
[NH카드20%][탐라왕] 제주 풋귤(청귤) 3kg,"9,900",198P,무료배송,탐라왕영농조합법인
[풀무원] 핫도그 골라담기 (올바른/모짜렐라/탱글뽀득/체다모짜),"28,900",578P,무료배송,풀무원
갤럭시 노트9 (재출시) 128G,"799,700",578P,무료배송,T공식대리점
[갤러리아] [서울약사신협]6년근 투데이 홍삼정 플러스 스틱 60포,"38,040",760P,무료배송,갤러리아몰
강블리라이프 수블리 미네랄 워터 2.0L X 12개 / 500ml X 40개/물,"6,500",130P,무료배송,GPCLUB
[본사정품] 파인캐디 UPL100 레이저 골프거리측정기,"199,000","3,980P",무료배송,파인드라이브본사
[BEST]스마트에코 베이직 캡형물티슈 100매X20팩!,"13,900",695P,무료배송,GntClean
강화유리/풀커버 액정보호 방탄 필름 갤럭시S20 울트라 S10 9 노트20 10플러스 아이폰,"14,900",695P,무료배송,네고네고
"본사직영_해피바스/일리윤 클렌징, 마스크 BEST 모음","10,000",200P,무료배송,아모레퍼시픽_생활
"유니크데일리룩 5,310원~ 가을룩깜짝할인! 바이미쓰리 블라우스/티셔츠/가디건/니트/팬","7,900",158P,무료배송,바이미쓰리
종가집 포기김치(행복이온) 10kg,"50,900","2,545P",무료배송,종가집공식대리점
20%쿠폰!컴포트랩 여름용 브라렛 궁극의 편안함 상하세트,"10,000",200P,무료배송,컴포트랩
[라네즈] 한여름 Make-up 치트키! 워터뱅크 X 네오쿠션 #꿀조합 #겉바속촉,"28,000",560P,무료배송,아모레퍼시픽
[프레시지] 감바스알아히요 (2인분) 밀키트 쿠킹박스,"10,900",545P,무료배송,프레시지
[19년산] 단일품종! 전북 신동진쌀 20kg #상등급 #당일도정,"50,900","1,018P",무료배송,옥정영농
[에이와비]30%쿠폰!i'm pretty jean/예쁘진/여름신상/데님/슬랙스/와이드/부츠컷/스키,"20,900",418P,무료배송,에이와비
[25%쿠폰] 쉬즈미스/리스트 외 얼리버드 세일~ 90% OFF,"9,800",196P,무료배송,패션지오
2019년 보성농협쌀 보성다향미20kg/쌀20kg/상등급 백미/현미/잡곡/당일도정,"51,900","1,038P",무료배송,우리곡물
[7% 할인쿠폰] 상상후 명화/패브릭 포스터! 1+1 명화/포스터 쿠션커버! 도어커튼! 사이,"5,900",118P,무료배송,상상후
양키캔들 워머/선물세트/라지자/워머세트/디퓨저/방향제/캔들,"11,500",230P,무료배송,양키캔들정품샵
[NH카드20%][우체국쇼핑] 심은 떡명장의 별꼴떡볶이떡 400g*3봉+소스팩3팩(간장2봉/고,"10,400",208P,무료배송,우체국쇼핑_
순한 여름용 비말차단 3중 필터 일회용 덴탈 마스크 50매,"5,900",118P,무료배송,고르고샵
[탑걸X에꼴] 가을 BIG OPEN 활용만점 아이템 100종 기획!_EA19A166,"9,900",198P,무료배송,★fashion★avenue★
[동원] 10% 쿠폰! 생수/참치/리챔/만두 외 골라담기 특가,"8,890",177P,무료배송,하프클럽
가정용 혈압계 HEM-7121 +혈압수첩,"59,000","1,180P",무료배송,미래이씨피
